Client Recipient,Client Code,Record Type,Payee Code,Song Title,Song Code,Source Name,Composers,Source Code, Income Type,Catalogue Number,Income Period,Distribution Number,Perc. Paid To Us,Fraction Numerator,Fraction Denominator,Amount,Units,Royalty Payable,Payout Perc.,Source Perc.,Original Perc. Received,Company Code,Sub Code,Royalty Note,Usage Year,Country Of Origin,Country Of Sale,Film Or Series Name,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Misc. Information,Price,Originating System,Incoming Perc. Received,Member Number,Member Name,Label Code Number,Label Broadcast Channel,Artist,Album Program Title,Episode Title,License Number,Secondary Title,ISAN Number,Exploit Source Code,Exploitation Source,Income Type Description,Domestic Foreign,ISRC Number,ISWC Number,UPC Barcode Number,EAN Barcode Number,Usage Type,Usage Count,Time Of Day,Duration Seconds,CAE IPI Number,Instrumental Or Vocal,Rights Owner,Owner Role
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",01,"00602557935066",23072309,0000,100.000,00,00,0.02,4,0.02,075.000,075.000,000.000,"D1","00","","","","","","23",00806,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECHANICALS","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",01,"19075841182",23072309,0000,100.000,00,00,0.06,22,0.05,075.000,075.000,000.000,"D1","00","","","","","","23",00806,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECHANICALS","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU22427595",04210621,0000,100.000,00,00,0.07,13,0.05,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU22427595",07180918,0000,100.000,00,00,0.02,3,0.02,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU23344368",07180918,0000,100.000,00,00,0.02,6,0.02,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU25914761",01230323,0000,100.000,00,00,0.02,6,0.02,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU25914761",02230323,0000,100.000,00,00,0.02,9,0.02,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU28695316",01230323,0000,100.000,00,00,0.22,90,0.17,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU28857659",01230323,0000,100.000,00,00,0.01,4,0.01,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU31380310",01230323,0000,100.000,00,00,0.01,1,0.01,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
"",064466,1,064466,"ONE LAST SONG",1693990,"AMCOS","NAPIER/JOHNSON/SMALLS/SMITH","AMCO",21,"AU31380310",02230323,0000,100.000,00,00,0.01,1,0.01,075.000,075.000,000.000,"D1","00","","","","","","23",00566,"AUST","AUSTRALIA","",0000.00,"IT",100.000,"","","","","","","","","","","","","MECH DOWNLOAD","F","","","","","","0","","0","","","",""
